"district","total","%","Day-to-day activities limited a lot","%","Day-to-day activities limited a little","%","Day-to-day activities not limited","%","Day-to-day activities limited a lot: Age 16 to 64","%","Day-to-day activities limited a little: Age 16 to 64","%","Day-to-day activities not limited: Age 16 to 64","%","Very good health","%","Good health","%","Fair health","%","Bad health","%","Very bad health","%","Provides no unpaid care","%","Provides 1 to 19 hours unpaid care a week","%","Provides 20 to 49 hours unpaid care a week","%","Provides 50 or more hours unpaid care a week","%"
"Maidstone",155143,100.0,10660,6.9,13845,8.9,130638,84.2,4182,2.7,6457,4.2,88323,56.9,74636,48.1,54384,35.1,19291,12.4,5323,3.4,1509,1.0,139582,90.0,10472,6.7,1728,1.1,3361,2.2
"Sevenoaks",114893,100.0,7219,6.3,9872,8.6,97802,85.1,2564,2.2,4182,3.6,64068,55.8,58796,51.2,38344,33.4,13180,11.5,3569,3.1,1004,0.9,102948,89.6,8501,7.4,1190,1.0,2254,2.0
"Shepway",107969,100.0,10753,10.0,11965,11.1,85251,79.0,4517,4.2,5458,5.1,56370,52.2,45577,42.2,38999,36.1,16465,15.2,5321,4.9,1607,1.5,95663,88.6,7465,6.9,1663,1.5,3178,2.9
"Swale",135835,100.0,11742,8.6,13580,10.0,110513,81.4,5357,3.9,6728,5.0,73831,54.4,60198,44.3,48719,35.9,19118,14.1,6008,4.4,1792,1.3,121577,89.5,8351,6.1,1897,1.4,4010,3.0
"Thanet",134186,100.0,15369,11.5,15979,11.9,102838,76.6,6459,4.8,7325,5.5,66359,49.5,54640,40.7,47109,35.1,22377,16.7,7785,5.8,2275,1.7,118684,88.4,8925,6.7,2190,1.6,4387,3.3
"Tonbridge and Malling",120805,100.0,7579,6.3,10367,8.6,102859,85.1,2948,2.4,4607,3.8,67839,56.2,60306,49.9,41475,34.3,14263,11.8,3728,3.1,1033,0.9,108724,90.0,8258,6.8,1321,1.1,2502,2.1
"Tunbridge Wells",115049,100.0,6972,6.1,9399,8.2,98678,85.8,2726,2.4,4298,3.7,65384,56.8,59156,51.4,38656,33.6,12788,11.1,3550,3.1,899,0.8,104510,90.8,7527,6.5,1112,1.0,1900,1.7
"Cherwell",141868,100.0,8698,6.1,11374,8.0,121796,85.9,3405,2.4,5561,3.9,82757,58.3,71403,50.3,49163,34.7,15844,11.2,4261,3.0,1197,0.8,128514,90.6,9216,6.5,1452,1.0,2686,1.9
"Oxford",151906,100.0,8139,5.4,10712,7.1,133055,87.6,3724,2.5,6017,4.0,100344,66.1,83904,55.2,48201,31.7,14320,9.4,4189,2.8,1292,0.9,140181,92.3,8159,5.4,1468,1.0,2098,1.4
"South Oxfordshire",134257,100.0,7541,5.6,10959,8.2,115757,86.2,2463,1.8,4685,3.5,76704,57.1,70571,52.6,44779,33.4,14409,10.7,3517,2.6,981,0.7,121001,90.1,9817,7.3,1250,0.9,2189,1.6
"Vale of White Horse",120988,100.0,7041,5.8,10143,8.4,103804,85.8,2378,2.0,4248,3.5,69480,57.4,62738,51.9,41117,34.0,13063,10.8,3163,2.6,907,0.7,108550,89.7,9035,7.5,1183,1.0,2220,1.8
"West Oxfordshire",104779,100.0,6208,5.9,8941,8.5,89630,85.5,1970,1.9,3799,3.6,60281,57.5,53984,51.5,35438,33.8,11685,11.2,2942,2.8,730,0.7,94421,90.1,7540,7.2,1050,1.0,1768,1.7
"Elmbridge",130875,100.0,6697,5.1,9134,7.0,115044,87.9,2187,1.7,3787,2.9,75513,57.7,73880,56.5,40555,31.0,12360,9.4,3213,2.5,867,0.7,119244,91.1,8653,6.6,1100,0.8,1878,1.4
"Epsom and Ewell",75102,100.0,4198,5.6,5868,7.8,65036,86.6,1566,2.1,2538,3.4,43692,58.2,39208,52.2,25355,33.8,7988,10.6,2016,2.7,535,0.7,67774,90.2,5294,7.0,818,1.1,1216,1.6
"Guildford",137183,100.0,7096,5.2,10220,7.4,119867,87.4,2629,1.9,4673,3.4,83894,61.2,73969,53.9,45445,33.1,13442,9.8,3402,2.5,925,0.7,124607,90.8,9250,6.7,1215,0.9,2111,1.5
"Mole Valley",85375,100.0,5213,6.1,7329,8.6,72833,85.3,1709,2.0,2902,3.4,47295,55.4,43926,51.5,28801,33.7,9607,11.3,2437,2.9,604,0.7,76464,89.6,6731,7.9,770,0.9,1410,1.7
"Reigate and Banstead",137835,100.0,8418,6.1,10848,7.9,118569,86.0,3050,2.2,5003,3.6,79939,58.0,71052,51.5,46908,34.0,14866,10.8,3844,2.8,1165,0.8,124730,90.5,9401,6.8,1423,1.0,2281,1.7
"Runnymede",80510,100.0,4737,5.9,6418,8.0,69355,86.1,1603,2.0,2812,3.5,48770,60.6,41319,51.3,27451,34.1,8767,10.9,2371,2.9,602,0.7,73108,90.8,5208,6.5,811,1.0,1383,1.7
"Spelthorne",95598,100.0,6139,6.4,8125,8.5,81334,85.1,2217,2.3,3593,3.8,55599,58.2,45929,48.0,34239,35.8,11509,12.0,3085,3.2,836,0.9,85754,89.7,6701,7.0,1150,1.2,1993,2.1
"Surrey Heath",86144,100.0,4444,5.2,6396,7.4,75304,87.4,1530,1.8,2815,3.3,50552,58.7,46062,53.5,28683,33.3,8613,10.0,2148,2.5,638,0.7,78250,90.8,5748,6.7,823,1.0,1323,1.5
"Tandridge",82998,100.0,5340,6.4,6972,8.4,70686,85.2,1939,2.3,2965,3.6,46663,56.2,41916,50.5,28514,34.4,9450,11.4,2403,2.9,715,0.9,74463,89.7,6241,7.5,852,1.0,1442,1.7
"Waverley",121572,100.0,6984,5.7,9893,8.1,104695,86.1,2236,1.8,3944,3.2,67476,55.5,65068,53.5,39777,32.7,12768,10.5,3078,2.5,881,0.7,109567,90.1,9031,7.4,1104,0.9,1870,1.5
"Woking",99198,100.0,5486,5.5,7399,7.5,86313,87.0,2112,2.1,3496,3.5,58734,59.2,51360,51.8,34291,34.6,10184,10.3,2602,2.6,761,0.8,89996,90.7,6662,6.7,973,1.0,1567,1.6
"Adur",61182,100.0,5592,9.1,6710,11.0,48880,79.9,2138,3.5,2876,4.7,32131,52.5,26107,42.7,22373,36.6,9181,15.0,2757,4.5,764,1.2,54233,88.6,4472,7.3,835,1.4,1642,2.7
"Arun",149518,100.0,13984,9.4,17505,11.7,118029,78.9,4684,3.1,6734,4.5,75418,50.4,62774,42.0,54975,36.8,23299,15.6,6608,4.4,1862,1.2,132964,88.9,10771,7.2,1976,1.3,3807,2.5
"Chichester",113794,100.0,8328,7.3,11555,10.2,93911,82.5,2622,2.3,4271,3.8,60374,53.1,54210,47.6,39771,34.9,14900,13.1,3822,3.4,1091,1.0,101307,89.0,8924,7.8,1195,1.1,2368,2.1
"Crawley",106597,100.0,7001,6.6,8701,8.2,90895,85.3,3266,3.1,4598,4.3,63217,59.3,50751,47.6,38279,35.9,12856,12.1,3679,3.5,1032,1.0,96695,90.7,6378,6.0,1418,1.3,2106,2.0
"Horsham",131301,100.0,7857,6.0,11550,8.8,111894,85.2,2724,2.1,4760,3.6,73704,56.1,66403,50.6,45684,34.8,14580,11.1,3560,2.7,1074,0.8,117659,89.6,10133,7.7,1233,0.9,2276,1.7
"Mid Sussex",139860,100.0,8084,5.8,11737,8.4,120039,85.8,2905,2.1,4914,3.5,79629,56.9,72448,51.8,47524,34.0,14938,10.7,3864,2.8,1086,0.8,125878,90.0,10375,7.4,1306,0.9,2301,1.6
"Worthing",104640,100.0,9310,8.9,10966,10.5,84364,80.6,3595,3.4,4683,4.5,56119,53.6,46272,44.2,37777,36.1,15082,14.4,4355,4.2,1154,1.1,93761,89.6,7268,6.9,1319,1.3,2292,2.2
"Bath and North East Somerset",176016,100.0,12267,7.0,16028,9.1,147721,83.9,4505,2.6,7200,4.1,102917,58.5,88882,50.5,58849,33.4,20856,11.8,5831,3.3,1598,0.9,158431,90.0,12396,7.0,1989,1.1,3200,1.8
"Bournemouth",183491,100.0,15858,8.6,18289,10.0,149344,81.4,6829,3.7,8872,4.8,107212,58.4,84955,46.3,63260,34.5,24866,13.6,8009,4.4,2401,1.3,166166,90.6,11280,6.1,2260,1.2,3785,2.1
"Bristol, City of",428234,100.0,34570,8.1,37154,8.7,356510,83.3,15908,3.7,20499,4.8,257374,60.1,209024,48.8,143283,33.5,52446,12.2,18056,4.2,5425,1.3,388096,90.6,25709,6.0,5253,1.2,9176,2.1
"Cornwall",532273,100.0,53166,10.0,60549,11.4,418558,78.6,22002,4.1,27627,5.2,277462,52.1,240759,45.2,178805,33.6,79181,14.9,25907,4.9,7621,1.4,469081,88.1,39052,7.3,8284,1.6,15856,3.0
"Isles of Scilly",2203,100.0,108,4.9,200,9.1,1895,86.0,27,1.2,68,3.1,1256,57.0,1135,51.5,754,34.2,248,11.3,53,2.4,13,0.6,1983,90.0,165,7.5,20,0.9,35,1.6
"North Somerset",202566,100.0,17335,8.6,21405,10.6,163826,80.9,6670,3.3,9380,4.6,107231,52.9,93803,46.3,70435,34.8,27670,13.7,8276,4.1,2382,1.2,180253,89.0,15172,7.5,2577,1.3,4564,2.3
"Plymouth",256384,100.0,25548,10.0,26644,10.4,204192,79.6,12116,4.7,14197,5.5,143474,56.0,117976,46.0,85956,33.5,35756,13.9,13012,5.1,3684,1.4,229137,89.4,15624,6.1,4057,1.6,7566,3.0
"Poole",147645,100.0,12040,8.2,15168,10.3,120437,81.6,4543,3.1,6526,4.4,80759,54.7,68689,46.5,51486,34.9,19849,13.4,5841,4.0,1780,1.2,131433,89.0,10761,7.3,1846,1.3,3605,2.4
"South Gloucestershire",262767,100.0,17842,6.8,23072,8.8,221853,84.4,6667,2.5,10748,4.1,151013,57.5,129141,49.1,91675,34.9,30940,11.8,8556,3.3,2455,0.9,235128,89.5,19279,7.3,2976,1.1,5384,2.0
"Swindon",209156,100.0,14638,7.0,17664,8.4,176854,84.6,6546,3.1,9226,4.4,123148,58.9,100931,48.3,73591,35.2,25056,12.0,7556,3.6,2022,1.0,189676,90.7,12431,5.9,2680,1.3,4369,2.1
"Torbay",130959,100.0,15500,11.8,15951,12.2,99508,76.0,6448,4.9,7183,5.5,64805,49.5,54614,41.7,45098,34.4,21355,16.3,7625,5.8,2267,1.7,114852,87.7,9137,7.0,2286,1.7,4684,3.6
"Wiltshire",470981,100.0,31408,6.7,43836,9.3,395737,84.0,12012,2.6,19611,4.2,262902,55.8,234318,49.8,160362,34.0,57221,12.1,14974,3.2,4106,0.9,423373,89.9,33064,7.0,5066,1.1,9478,2.0
"East Devon",132457,100.0,11814,8.9,16025,12.1,104618,79.0,3527,2.7,5625,4.2,65504,49.5,58004,43.8,47716,36.0,19960,15.1,5285,4.0,1492,1.1,116613,88.0,10746,8.1,1762,1.3,3336,2.5
"Exeter",117773,100.0,9006,7.6,10683,9.1,98084,83.3,3936,3.3,5332,4.5,71529,60.7,58775,49.9,39301,33.4,14075,12.0,4331,3.7,1291,1.1,106782,90.7,7246,6.2,1298,1.1,2447,2.1
"Mid Devon",77750,100.0,5792,7.4,7708,9.9,64250,82.6,2232,2.9,3270,4.2,41833,53.8,36263,46.6,27554,35.4,10398,13.4,2785,3.6,750,1.0,69298,89.1,5798,7.5,927,1.2,1727,2.2
"North Devon",93667,100.0,8180,8.7,10219,10.9,75268,80.4,3023,3.2,4382,4.7,49165,52.5,43441,46.4,31704,33.8,13264,14.2,4064,4.3,1194,1.3,83324,89.0,6634,7.1,1260,1.3,2449,2.6
"South Hams",83140,100.0,6813,8.2,9160,11.0,67167,80.8,2633,3.2,3808,4.6,43673,52.5,39414,47.4,28574,34.4,11075,13.3,3156,3.8,921,1.1,72911,87.7,7102,8.5,1156,1.4,1971,2.4
"Teignbridge",124220,100.0,11534,9.3,14081,11.3,98605,79.4,4103,3.3,5913,4.8,64706,52.1,55819,44.9,43342,34.9,18237,14.7,5268,4.2,1554,1.3,109201,87.9,9873,7.9,1767,1.4,3379,2.7
"Torridge",63839,100.0,6116,9.6,7324,11.5,50399,78.9,2439,3.8,3155,4.9,32749,51.3,27787,43.5,22242,34.8,9843,15.4,3128,4.9,839,1.3,56230,88.1,4839,7.6,989,1.5,1781,2.8
"West Devon",53553,100.0,4579,8.6,6145,11.5,42829,80.0,1716,3.2,2631,4.9,27915,52.1,24556,45.9,18599,34.7,7646,14.3,2120,4.0,632,1.2,47156,88.1,4290,8.0,709,1.3,1398,2.6
"Christchurch",47752,100.0,4629,9.7,6071,12.7,37052,77.6,1387,2.9,2114,4.4,22601,47.3,20203,42.3,17116,35.8,7681,16.1,2208,4.6,544,1.1,41764,87.5,3933,8.2,686,1.4,1369,2.9
"East Dorset",87166,100.0,7152,8.2,10023,11.5,69991,80.3,2017,2.3,3416,3.9,43805,50.3,39505,45.3,31183,35.8,12436,14.3,3162,3.6,880,1.0,76271,87.5,7447,8.5,1148,1.3,2300,2.6
"North Dorset",68583,100.0,4896,7.1,7123,10.4,56564,82.5,1762,2.6,2906,4.2,36763,53.6,32782,47.8,24146,35.2,8808,12.8,2266,3.3,581,0.8,61309,89.4,5006,7.3,766,1.1,1502,2.2
"Purbeck",44973,100.0,3702,8.2,5057,11.2,36214,80.5,1300,2.9,2034,4.5,23397,52.0,20231,45.0,16148,35.9,6340,14.1,1782,4.0,472,1.0,39281,87.3,3924,8.7,653,1.5,1115,2.5
"West Dorset",99264,100.0,8645,8.7,11468,11.6,79151,79.7,2878,2.9,4240,4.3,50140,50.5,44070,44.4,35640,35.9,14604,14.7,3878,3.9,1072,1.1,87308,88.0,8313,8.4,1237,1.2,2406,2.4
"Weymouth and Portland",65167,100.0,6315,9.7,7786,11.9,51066,78.4,2780,4.3,3718,5.7,34193,52.5,27562,42.3,23933,36.7,9802,15.0,2952,4.5,918,1.4,57650,88.5,4739,7.3,966,1.5,1812,2.8
"Cheltenham",115732,100.0,7582,6.6,9924,8.6,98226,84.9,3006,2.6,4535,3.9,69138,59.7,57758,49.9,39722,34.3,13631,11.8,3637,3.1,984,0.9,105199,90.9,7505,6.5,1111,1.0,1917,1.7
"Cotswold",82881,100.0,5417,6.5,7952,9.6,69512,83.9,1770,2.1,3113,3.8,45766,55.2,40433,48.8,29067,35.1,10220,12.3,2498,3.0,663,0.8,74131,89.4,6408,7.7,822,1.0,1520,1.8
"Forest of Dean",81961,100.0,7265,8.9,8798,10.7,65898,80.4,2763,3.4,3932,4.8,44266,54.0,36281,44.3,29340,35.8,11879,14.5,3535,4.3,926,1.1,72293,88.2,6296,7.7,1197,1.5,2175,2.7
"Gloucester",121688,100.0,9285,7.6,11148,9.2,101255,83.2,4060,3.3,5703,4.7,69703,57.3,56655,46.6,43150,35.5,15933,13.1,4616,3.8,1334,1.1,109564,90.0,7924,6.5,1468,1.2,2732,2.2
"Stroud",112779,100.0,8073,7.2,10779,9.6,93927,83.3,2926,2.6,4789,4.2,62559,55.5,53779,47.7,39711,35.2,14441,12.8,3783,3.4,1065,0.9,99932,88.6,9349,8.3,1293,1.1,2205,2.0
"Tewkesbury",81943,100.0,5670,6.9,7853,9.6,68420,83.5,1923,2.3,3317,4.0,45609,55.7,39036,47.6,29183,35.6,10213,12.5,2703,3.3,808,1.0,73221,89.4,6114,7.5,939,1.1,1669,2.0
"Mendip",109279,100.0,8407,7.7,11067,10.1,89805,82.2,3235,3.0,4990,4.6,59379,54.3,51153,46.8,38270,35.0,14619,13.4,4137,3.8,1100,1.0,97441,89.2,8113,7.4,1284,1.2,2441,2.2
"Sedgemoor",114588,100.0,10077,8.8,12436,10.9,92075,80.4,4112,3.6,5585,4.9,60760,53.0,51044,44.5,40291,35.2,16930,14.8,4994,4.4,1329,1.2,101589,88.7,8361,7.3,1589,1.4,3049,2.7
"South Somerset",161243,100.0,12699,7.9,16600,10.3,131944,81.8,4714,2.9,6916,4.3,86170,53.4,73277,45.4,57906,35.9,22282,13.8,6115,3.8,1663,1.0,143762,89.2,11943,7.4,1988,1.2,3550,2.2
"Taunton Deane",110187,100.0,9115,8.3,11012,10.0,90060,81.7,3512,3.2,4833,4.4,59752,54.2,51946,47.1,38014,34.5,14854,13.5,4225,3.8,1148,1.0,98516,89.4,8026,7.3,1351,1.2,2294,2.1
"West Somerset",34675,100.0,3690,10.6,4561,13.2,26424,76.2,1328,3.8,1714,4.9,16722,48.2,14080,40.6,12620,36.4,5741,16.6,1756,5.1,478,1.4,30282,87.3,2910,8.4,504,1.5,979,2.8
"Anglesey",69751,100.0,7970,11.4,8142,11.7,53639,76.9,3086,4.4,3669,5.3,35489,50.9,33492,48.0,21309,30.6,10541,15.1,3413,4.9,996,1.4,61709,88.5,4677,6.7,1180,1.7,2185,3.1
"Gwynedd",121874,100.0,11824,9.7,13184,10.8,96866,79.5,4625,3.8,5882,4.8,65276,53.6,61396,50.4,37383,30.7,16593,13.6,4998,4.1,1504,1.2,109431,89.8,7266,6.0,1680,1.4,3497,2.9
"Conwy",115228,100.0,13896,12.1,14019,12.2,87313,75.8,5209,4.5,5982,5.2,56749,49.2,52335,45.4,36977,32.1,17874,15.5,6237,5.4,1805,1.6,101623,88.2,7813,6.8,1814,1.6,3978,3.5
"Denbighshire",93734,100.0,11350,12.1,10645,11.4,71739,76.5,4885,5.2,5022,5.4,47184,50.3,43690,46.6,29420,31.4,13770,14.7,5341,5.7,1513,1.6,82103,87.6,6470,6.9,1765,1.9,3396,3.6
"Flintshire",152506,100.0,14474,9.5,15189,10.0,122843,80.5,6128,4.0,7479,4.9,83419,54.7,74216,48.7,49498,32.5,20114,13.2,6774,4.4,1904,1.2,134863,88.4,10680,7.0,2487,1.6,4476,2.9
"Wrexham",134844,100.0,14139,10.5,13766,10.2,106939,79.3,6150,4.6,7003,5.2,73022,54.2,63642,47.2,43813,32.5,19009,14.1,6531,4.8,1849,1.4,119696,88.8,8853,6.6,2247,1.7,4048,3.0
"Powys",132976,100.0,13515,10.2,14922,11.2,104539,78.6,5134,3.9,6482,4.9,68221,51.3,59511,44.8,45459,34.2,19857,14.9,6375,4.8,1774,1.3,116822,87.9,10250,7.7,2084,1.6,3820,2.9
"Ceredigion",75922,100.0,7589,10.0,8436,11.1,59897,78.9,3223,4.2,3981,5.2,41783,55.0,35796,47.1,24369,32.1,10946,14.4,3660,4.8,1151,1.5,67319,88.7,5234,6.9,1144,1.5,2225,2.9
"Pembrokeshire",122439,100.0,13587,11.1,13970,11.4,94882,77.5,5534,4.5,6415,5.2,61720,50.4,55535,45.4,39889,32.6,18684,15.3,6383,5.2,1948,1.6,107244,87.6,9006,7.4,2128,1.7,4061,3.3
"Carmarthenshire",183777,100.0,24912,13.6,21763,11.8,137102,74.6,10474,5.7,10665,5.8,91448,49.8,82638,45.0,55618,30.3,30011,16.3,11475,6.2,4035,2.2,159788,86.9,13390,7.3,3485,1.9,7114,3.9
"Swansea",239023,100.0,30007,12.6,25711,10.8,183305,76.7,13684,5.7,13304,5.6,127827,53.5,116295,48.7,69978,29.3,33402,14.0,14473,6.1,4875,2.0,208674,87.3,17346,7.3,4495,1.9,8508,3.6
"Neath Port Talbot",139812,100.0,22492,16.1,16620,11.9,100700,72.0,10672,7.6,8904,6.4,69548,49.7,62849,45.0,39694,28.4,22640,16.2,11028,7.9,3601,2.6,119447,85.4,10380,7.4,3273,2.3,6712,4.8
"Bridgend",139178,100.0,18756,13.5,15603,11.2,104819,75.3,8897,6.4,8114,5.8,72025,51.8,64134,46.1,41659,29.9,21002,15.1,9459,6.8,2924,2.1,121259,87.1,9653,6.9,2763,2.0,5503,4.0
"The Vale of Glamorgan",126336,100.0,12538,9.9,13091,10.4,100707,79.7,5354,4.2,6417,5.1,67678,53.6,60656,48.0,40486,32.0,17123,13.6,6191,4.9,1880,1.5,110761,87.7,9939,7.9,2050,1.6,3586,2.8
"Cardiff",346090,100.0,31838,9.2,30493,8.8,283759,82.0,15192,4.4,17156,5.0,205215,59.3,174329,50.4,107477,31.1,42014,12.1,16745,4.8,5525,1.6,311085,89.9,21671,6.3,4729,1.4,8605,2.5
"Rhondda, Cynon, Taff",234410,100.0,33912,14.5,26677,11.4,173821,74.2,16084,6.9,14557,6.2,119402,50.9,105154,44.9,69544,29.7,37208,15.9,17396,7.4,5108,2.2,204770,87.4,15671,6.7,4580,2.0,9389,4.0
"Merthyr Tydfil",58802,100.0,9271,15.8,6525,11.1,43006,73.1,4715,8.0,3585,6.1,29746,50.6,25948,44.1,16961,28.8,9324,15.9,4908,8.3,1661,2.8,51375,87.4,3779,6.4,1285,2.2,2363,4.0
"Caerphilly",178806,100.0,25009,14.0,20356,11.4,133441,74.6,12023,6.7,11249,6.3,90988,50.9,79382,44.4,54272,30.4,28488,15.9,12844,7.2,3820,2.1,156085,87.3,12254,6.9,3507,2.0,6960,3.9
"Blaenau Gwent",69814,100.0,10987,15.7,8022,11.5,50805,72.8,5284,7.6,4419,6.3,35141,50.3,29269,41.9,21385,30.6,11696,16.8,5692,8.2,1772,2.5,61062,87.5,4333,6.2,1611,2.3,2808,4.0
"Torfaen",91075,100.0,11917,13.1,10030,11.0,69128,75.9,5350,5.9,5205,5.7,46908,51.5,39398,43.3,29619,32.5,14155,15.5,5965,6.5,1938,2.1,79146,86.9,6714,7.4,1757,1.9,3458,3.8
"Monmouthshire",91323,100.0,8820,9.7,9572,10.5,72931,79.9,3402,3.7,4283,4.7,48352,52.9,42365,46.4,30742,33.7,12800,14.0,4173,4.6,1243,1.4,79832,87.4,7509,8.2,1433,1.6,2549,2.8
"Newport",145736,100.0,15515,10.6,14801,10.2,115420,79.2,7051,4.8,7451,5.1,78095,53.6,66667,45.7,47811,32.8,20538,14.1,8161,5.6,2559,1.8,129132,88.6,9548,6.6,2549,1.7,4507,3.1
