"local authority: district / unitary (prior to April 2015)","All usual residents aged 16 to 74 in employment the week before the census","%","Part-time: 15 hours or less worked","%","Part-time: 16 to 30 hours worked","%","Full-time: 31 to 48 hours worked","%","Full-time: 49 or more hours worked","%","Males: Total","%","Males: Part-time: 15 hours or less worked","%","Males: Part-time: 16 to 30 hours worked","%","Males: Full-time: 31 to 48 hours worked","%","Males: Full-time: 49 or more hours worked","%","Females: Total","%","Females: Part-time: 15 hours or less worked","%","Females: Part-time: 16 to 30 hours worked","%","Females: Full-time: 31 to 48 hours worked","%","Females: Full-time: 49 or more hours worked","%"

"Darlington",49014,100.0,4093,8.4,10240,20.9,29280,59.7,5401,11.0,25264,51.5,1259,2.6,2344,4.8,17463,35.6,4198,8.6,23750,48.5,2834,5.8,7896,16.1,11817,24.1,1203,2.5
"County Durham",227894,100.0,18785,8.2,45205,19.8,138621,60.8,25283,11.1,118472,52.0,6031,2.6,10744,4.7,82190,36.1,19507,8.6,109422,48.0,12754,5.6,34461,15.1,56431,24.8,5776,2.5
"Hartlepool",37767,100.0,3247,8.6,8939,23.7,21662,57.4,3919,10.4,19511,51.7,934,2.5,2054,5.4,13333,35.3,3190,8.4,18256,48.3,2313,6.1,6885,18.2,8329,22.1,729,1.9
"Middlesbrough",54547,100.0,5716,10.5,13450,24.7,30267,55.5,5114,9.4,28197,51.7,1884,3.5,3631,6.7,18490,33.9,4192,7.7,26350,48.3,3832,7.0,9819,18.0,11777,21.6,922,1.7
"Northumberland",146901,100.0,13206,9.0,30630,20.9,84010,57.2,19055,13.0,75848,51.6,3951,2.7,7090,4.8,49784,33.9,15023,10.2,71053,48.4,9255,6.3,23540,16.0,34226,23.3,4032,2.7
"Redcar and Cleveland",56354,100.0,5508,9.8,13011,23.1,31673,56.2,6162,10.9,28719,51.0,1523,2.7,2690,4.8,19463,34.5,5043,8.9,27635,49.0,3985,7.1,10321,18.3,12210,21.7,1119,2.0
"Stockton-on-Tees",87122,100.0,7656,8.8,19523,22.4,50548,58.0,9395,10.8,44908,51.5,2270,2.6,4466,5.1,30554,35.1,7618,8.7,42214,48.5,5386,6.2,15057,17.3,19994,22.9,1777,2.0
"Gateshead",91877,100.0,6865,7.5,19036,20.7,57288,62.4,8688,9.5,47337,51.5,2143,2.3,4574,5.0,34020,37.0,6600,7.2,44540,48.5,4722,5.1,14462,15.7,23268,25.3,2088,2.3
"Newcastle upon Tyne",119335,100.0,13321,11.2,25442,21.3,68307,57.2,12265,10.3,62768,52.6,5175,4.3,8142,6.8,40373,33.8,9078,7.6,56567,47.4,8146,6.8,17300,14.5,27934,23.4,3187,2.7
"North Tyneside",96026,100.0,7344,7.6,19754,20.6,59032,61.5,9896,10.3,48859,50.9,2370,2.5,4530,4.7,34380,35.8,7579,7.9,47167,49.1,4974,5.2,15224,15.9,24652,25.7,2317,2.4
"South Tyneside",64622,100.0,4918,7.6,13908,21.5,38645,59.8,7151,11.1,33531,51.9,1528,2.4,3228,5.0,22904,35.4,5871,9.1,31091,48.1,3390,5.2,10680,16.5,15741,24.4,1280,2.0
"Sunderland",121511,100.0,9688,8.0,26933,22.2,74114,61.0,10776,8.9,62514,51.4,3169,2.6,6711,5.5,44167,36.3,8467,7.0,58997,48.6,6519,5.4,20222,16.6,29947,24.6,2309,1.9
"Blackburn with Darwen",60523,100.0,5133,8.5,13869,22.9,36410,60.2,5111,8.4,33440,55.3,1954,3.2,5347,8.8,22251,36.8,3888,6.4,27083,44.7,3179,5.3,8522,14.1,14159,23.4,1223,2.0
"Blackpool",61419,100.0,5065,8.2,14452,23.5,35389,57.6,6513,10.6,31451,51.2,1977,3.2,4129,6.7,20579,33.5,4766,7.8,29968,48.8,3088,5.0,10323,16.8,14810,24.1,1747,2.8
"Cheshire East",181136,100.0,18003,9.9,35081,19.4,102292,56.5,25760,14.2,95118,52.5,5429,3.0,8432,4.7,61313,33.8,19944,11.0,86018,47.5,12574,6.9,26649,14.7,40979,22.6,5816,3.2
"Cheshire West and Chester",160138,100.0,15902,9.9,32408,20.2,91529,57.2,20299,12.7,83031,51.8,4720,2.9,7416,4.6,55146,34.4,15749,9.8,77107,48.2,11182,7.0,24992,15.6,36383,22.7,4550,2.8
"Halton",57577,100.0,4464,7.8,11587,20.1,35764,62.1,5762,10.0,29843,51.8,1397,2.4,2456,4.3,21393,37.2,4597,8.0,27734,48.2,3067,5.3,9131,15.9,14371,25.0,1165,2.0
"Warrington",100856,100.0,8612,8.5,19513,19.3,61133,60.6,11598,11.5,52424,52.0,2696,2.7,4391,4.4,36275,36.0,9062,9.0,48432,48.0,5916,5.9,15122,15.0,24858,24.6,2536,2.5
"Allerdale",46076,100.0,4235,9.2,10308,22.4,25665,55.7,5868,12.7,24175,52.5,1166,2.5,2097,4.6,16357,35.5,4555,9.9,21901,47.5,3069,6.7,8211,17.8,9308,20.2,1313,2.8
"Barrow-in-Furness",31257,100.0,3088,9.9,7128,22.8,18761,60.0,2280,7.3,16552,53.0,833,2.7,1407,4.5,12498,40.0,1814,5.8,14705,47.0,2255,7.2,5721,18.3,6263,20.0,466,1.5
"Carlisle",53874,100.0,5194,9.6,11751,21.8,29827,55.4,7102,13.2,28277,52.5,1532,2.8,2520,4.7,18474,34.3,5751,10.7,25597,47.5,3662,6.8,9231,17.1,11353,21.1,1351,2.5
"Copeland",32891,100.0,2731,8.3,6704,20.4,20406,62.0,3050,9.3,17546,53.3,698,2.1,1280,3.9,13196,40.1,2372,7.2,15345,46.7,2033,6.2,5424,16.5,7210,21.9,678,2.1
"Eden",27461,100.0,3006,10.9,5689,20.7,13152,47.9,5614,20.4,14525,52.9,802,2.9,1265,4.6,7962,29.0,4496,16.4,12936,47.1,2204,8.0,4424,16.1,5190,18.9,1118,4.1
"South Lakeland",51672,100.0,5938,11.5,10710,20.7,27265,52.8,7759,15.0,26834,51.9,1799,3.5,2617,5.1,16726,32.4,5692,11.0,24838,48.1,4139,8.0,8093,15.7,10539,20.4,2067,4.0
"Bolton",123367,100.0,10224,8.3,26157,21.2,74548,60.4,12438,10.1,65347,53.0,3615,2.9,7760,6.3,44406,36.0,9566,7.8,58020,47.0,6609,5.4,18397,14.9,30142,24.4,2872,2.3
"Bury",88036,100.0,7014,8.0,17958,20.4,53696,61.0,9368,10.6,45419,51.6,2239,2.5,4725,5.4,31246,35.5,7209,8.2,42617,48.4,4775,5.4,13233,15.0,22450,25.5,2159,2.5
"Manchester",213705,100.0,22989,10.8,42956,20.1,127936,59.9,19824,9.3,114297,53.5,9617,4.5,17002,8.0,73856,34.6,13822,6.5,99408,46.5,13372,6.3,25954,12.1,54080,25.3,6002,2.8
"Oldham",96300,100.0,7538,7.8,20942,21.7,58886,61.1,8934,9.3,51644,53.6,2826,2.9,7191,7.5,34699,36.0,6928,7.2,44656,46.4,4712,4.9,13751,14.3,24187,25.1,2006,2.1
"Rochdale",90753,100.0,6670,7.3,19361,21.3,55918,61.6,8804,9.7,47770,52.6,2372,2.6,5859,6.5,32692,36.0,6847,7.5,42983,47.4,4298,4.7,13502,14.9,23226,25.6,1957,2.2
"Salford",106904,100.0,9007,8.4,20585,19.3,66867,62.5,10445,9.8,56000,52.4,3385,3.2,6053,5.7,38602,36.1,7960,7.4,50904,47.6,5622,5.3,14532,13.6,28265,26.4,2485,2.3
"Stockport",137130,100.0,12018,8.8,27267,19.9,82417,60.1,15428,11.3,70877,51.7,3847,2.8,6745,4.9,48574,35.4,11711,8.5,66253,48.3,8171,6.0,20522,15.0,33843,24.7,3717,2.7
"Tameside",101892,100.0,7207,7.1,19733,19.4,65399,64.2,9553,9.4,53107,52.1,2312,2.3,5080,5.0,38261,37.6,7454,7.3,48785,47.9,4895,4.8,14653,14.4,27138,26.6,2099,2.1
"Trafford",110912,100.0,9886,8.9,21069,19.0,66753,60.2,13204,11.9,57838,52.1,3319,3.0,5615,5.1,39040,35.2,9864,8.9,53074,47.9,6567,5.9,15454,13.9,27713,25.0,3340,3.0
"Wigan",149908,100.0,11550,7.7,30028,20.0,93374,62.3,14956,10.0,79220,52.8,3718,2.5,7014,4.7,56642,37.8,11846,7.9,70688,47.2,7832,5.2,23014,15.4,36732,24.5,3110,2.1
"Burnley",38133,100.0,3096,8.1,8504,22.3,23316,61.1,3217,8.4,20309,53.3,1157,3.0,2588,6.8,14105,37.0,2459,6.4,17824,46.7,1939,5.1,5916,15.5,9211,24.2,758,2.0
"Chorley",53702,100.0,4563,8.5,10395,19.4,31873,59.4,6871,12.8,28281,52.7,1484,2.8,2612,4.9,18876,35.1,5309,9.9,25421,47.3,3079,5.7,7783,14.5,12997,24.2,1562,2.9
"Fylde",34510,100.0,3255,9.4,6815,19.7,20176,58.5,4264,12.4,17988,52.1,1051,3.0,1757,5.1,11912,34.5,3268,9.5,16522,47.9,2204,6.4,5058,14.7,8264,23.9,996,2.9
"Hyndburn",35993,100.0,2656,7.4,7738,21.5,22413,62.3,3186,8.9,19209,53.4,972,2.7,2293,6.4,13522,37.6,2422,6.7,16784,46.6,1684,4.7,5445,15.1,8891,24.7,764,2.1
"Lancaster",62832,100.0,7527,12.0,13792,22.0,33723,53.7,7790,12.4,31931,50.8,2434,3.9,3463,5.5,20077,32.0,5957,9.5,30901,49.2,5093,8.1,10329,16.4,13646,21.7,1833,2.9
"Pendle",39324,100.0,3296,8.4,8712,22.2,23428,59.6,3888,9.9,21472,54.6,1247,3.2,2880,7.3,14374,36.6,2971,7.6,17852,45.4,2049,5.2,5832,14.8,9054,23.0,917,2.3
"Preston",64180,100.0,6933,10.8,13625,21.2,37450,58.4,6172,9.6,34176,53.3,2534,3.9,4149,6.5,22723,35.4,4770,7.4,30004,46.7,4399,6.9,9476,14.8,14727,22.9,1402,2.2
"Ribble Valley",28713,100.0,2886,10.1,5505,19.2,15638,54.5,4684,16.3,14920,52.0,907,3.2,1233,4.3,9168,31.9,3612,12.6,13793,48.0,1979,6.9,4272,14.9,6470,22.5,1072,3.7
"Rossendale",32808,100.0,2577,7.9,6402,19.5,19747,60.2,4082,12.4,17006,51.8,829,2.5,1653,5.0,11412,34.8,3112,9.5,15802,48.2,1748,5.3,4749,14.5,8335,25.4,970,3.0
"South Ribble",55761,100.0,4689,8.4,10741,19.3,34248,61.4,6083,10.9,28782,51.6,1435,2.6,2358,4.2,20190,36.2,4799,8.6,26979,48.4,3254,5.8,8383,15.0,14058,25.2,1284,2.3
"West Lancashire",51694,100.0,5455,10.6,10604,20.5,28980,56.1,6655,12.9,26687,51.6,1669,3.2,2453,4.7,17344,33.6,5221,10.1,25007,48.4,3786,7.3,8151,15.8,11636,22.5,1434,2.8
"Wyre",48558,100.0,4680,9.6,10561,21.7,27212,56.0,6105,12.6,25064,51.6,1512,3.1,2631,5.4,16073,33.1,4848,10.0,23494,48.4,3168,6.5,7930,16.3,11139,22.9,1257,2.6
"Knowsley",61691,100.0,4568,7.4,13958,22.6,38150,61.8,5015,8.1,30539,49.5,1389,2.3,3030,4.9,22186,36.0,3934,6.4,31152,50.5,3179,5.2,10928,17.7,15964,25.9,1081,1.8
"Liverpool",196630,100.0,19406,9.9,43241,22.0,115892,58.9,18091,9.2,100361,51.0,7300,3.7,12624,6.4,66989,34.1,13448,6.8,96269,49.0,12106,6.2,30617,15.6,48903,24.9,4643,2.4
"Sefton",121919,100.0,11493,9.4,26988,22.1,70442,57.8,12996,10.7,61647,50.6,3694,3.0,6736,5.5,41108,33.7,10109,8.3,60272,49.4,7799,6.4,20252,16.6,29334,24.1,2887,2.4
"St. Helens",78580,100.0,6183,7.9,16002,20.4,48746,62.0,7649,9.7,40707,51.8,1874,2.4,3578,4.6,29257,37.2,5998,7.6,37873,48.2,4309,5.5,12424,15.8,19489,24.8,1651,2.1
"Wirral",139929,100.0,12300,8.8,30867,22.1,82162,58.7,14600,10.4,71103,50.8,3796,2.7,7598,5.4,48654,34.8,11055,7.9,68826,49.2,8504,6.1,23269,16.6,33508,23.9,3545,2.5
"East Riding of Yorkshire",158757,100.0,16393,10.3,32908,20.7,86161,54.3,23295,14.7,83196,52.4,4669,2.9,7187,4.5,52837,33.3,18503,11.7,75561,47.6,11724,7.4,25721,16.2,33324,21.0,4792,3.0
"Kingston upon Hull, City of",110903,100.0,9944,9.0,24914,22.5,65873,59.4,10172,9.2,58850,53.1,3186,2.9,5971,5.4,41326,37.3,8367,7.5,52053,46.9,6758,6.1,18943,17.1,24547,22.1,1805,1.6
"North East Lincolnshire",70776,100.0,6595,9.3,16330,23.1,38803,54.8,9048,12.8,37659,53.2,1700,2.4,3651,5.2,24647,34.8,7661,10.8,33117,46.8,4895,6.9,12679,17.9,14156,20.0,1387,2.0
"North Lincolnshire",78101,100.0,7073,9.1,15950,20.4,44769,57.3,10309,13.2,42032,53.8,1862,2.4,3203,4.1,28464,36.4,8503,10.9,36069,46.2,5211,6.7,12747,16.3,16305,20.9,1806,2.3
"York",98721,100.0,11487,11.6,20822,21.1,55400,56.1,11012,11.2,50608,51.3,3751,3.8,5234,5.3,33319,33.8,8304,8.4,48113,48.7,7736,7.8,15588,15.8,22081,22.4,2708,2.7
"Craven",27600,100.0,2974,10.8,5504,19.9,14293,51.8,4829,17.5,14316,51.9,813,2.9,1284,4.7,8472,30.7,3747,13.6,13284,48.1,2161,7.8,4220,15.3,5821,21.1,1082,3.9
"Hambleton",45255,100.0,4589,10.1,8588,19.0,23800,52.6,8278,18.3,24165,53.4,1270,2.8,1848,4.1,14417,31.9,6630,14.7,21090,46.6,3319,7.3,6740,14.9,9383,20.7,1648,3.6
"Harrogate",81402,100.0,8203,10.1,15453,19.0,43991,54.0,13755,16.9,42975,52.8,2499,3.1,3465,4.3,26209,32.2,10802,13.3,38427,47.2,5704,7.0,11988,14.7,17782,21.8,2953,3.6
"Richmondshire",27795,100.0,2295,8.3,4660,16.8,13480,48.5,7360,26.5,16441,59.2,672,2.4,1034,3.7,8438,30.4,6297,22.7,11354,40.8,1623,5.8,3626,13.0,5042,18.1,1063,3.8
"Ryedale",25504,100.0,2877,11.3,5219,20.5,12903,50.6,4505,17.7,13485,52.9,721,2.8,1187,4.7,8052,31.6,3525,13.8,12019,47.1,2156,8.5,4032,15.8,4851,19.0,980,3.8
"Scarborough",48359,100.0,5204,10.8,11773,24.3,24689,51.1,6693,13.8,25032,51.8,1604,3.3,3105,6.4,15245,31.5,5078,10.5,23327,48.2,3600,7.4,8668,17.9,9444,19.5,1615,3.3
"Selby",43286,100.0,3838,8.9,8283,19.1,24764,57.2,6401,14.8,22666,52.4,1054,2.4,1570,3.6,14981,34.6,5061,11.7,20620,47.6,2784,6.4,6713,15.5,9783,22.6,1340,3.1
"Barnsley",103579,100.0,8086,7.8,22357,21.6,61102,59.0,12034,11.6,54347,52.5,2274,2.2,4941,4.8,37371,36.1,9761,9.4,49232,47.5,5812,5.6,17416,16.8,23731,22.9,2273,2.2
"Doncaster",133815,100.0,11238,8.4,29342,21.9,78014,58.3,15221,11.4,71019,53.1,3400,2.5,7072,5.3,48221,36.0,12326,9.2,62796,46.9,7838,5.9,22270,16.6,29793,22.3,2895,2.2
"Rotherham",114871,100.0,9645,8.4,25564,22.3,66799,58.2,12863,11.2,60668,52.8,2776,2.4,5894,5.1,41563,36.2,10435,9.1,54203,47.2,6869,6.0,19670,17.1,25236,22.0,2428,2.1
"Sheffield",244318,100.0,26473,10.8,53568,21.9,140545,57.5,23732,9.7,127532,52.2,9296,3.8,14941,6.1,85199,34.9,18096,7.4,116786,47.8,17177,7.0,38627,15.8,55346,22.7,5636,2.3
"Bradford",218937,100.0,19773,9.0,50552,23.1,127541,58.3,21071,9.6,119780,54.7,7332,3.3,18207,8.3,78077,35.7,16164,7.4,99157,45.3,12441,5.7,32345,14.8,49464,22.6,4907,2.2
"Calderdale",96645,100.0,8160,8.4,20474,21.2,56992,59.0,11019,11.4,50682,52.4,2667,2.8,5294,5.5,34304,35.5,8417,8.7,45963,47.6,5493,5.7,15180,15.7,22688,23.5,2602,2.7
"Kirklees",192397,100.0,18353,9.5,41433,21.5,110829,57.6,21782,11.3,104074,54.1,6342,3.3,12381,6.4,68406,35.6,16945,8.8,88323,45.9,12011,6.2,29052,15.1,42423,22.0,4837,2.5
"Leeds",355225,100.0,34322,9.7,70354,19.8,211309,59.5,39240,11.0,184048,51.8,11998,3.4,18792,5.3,124133,34.9,29125,8.2,171177,48.2,22324,6.3,51562,14.5,87176,24.5,10115,2.8
"Wakefield",151828,100.0,12132,8.0,31392,20.7,91624,60.3,16680,11.0,79789,52.6,3509,2.3,7008,4.6,56011,36.9,13261,8.7,72039,47.4,8623,5.7,24384,16.1,35613,23.5,3419,2.3
"Derby",112422,100.0,10959,9.7,23440,20.9,66846,59.5,11177,9.9,59485,52.9,3603,3.2,6333,5.6,40808,36.3,8741,7.8,52937,47.1,7356,6.5,17107,15.2,26038,23.2,2436,2.2
"Leicester",137494,100.0,14618,10.6,30928,22.5,80677,58.7,11271,8.2,74955,54.5,5542,4.0,11420,8.3,49410,35.9,8583,6.2,62539,45.5,9076,6.6,19508,14.2,31267,22.7,2688,2.0
"Nottingham",123218,100.0,14021,11.4,26500,21.5,71333,57.9,11364,9.2,65595,53.2,5335,4.3,8720,7.1,42882,34.8,8658,7.0,57623,46.8,8686,7.0,17780,14.4,28451,23.1,2706,2.2
"Rutland",18037,100.0,1944,10.8,3477,19.3,9405,52.1,3211,17.8,9885,54.8,666,3.7,911,5.1,5847,32.4,2461,13.6,8152,45.2,1278,7.1,2566,14.2,3558,19.7,750,4.2
"Amber Valley",59381,100.0,5513,9.3,11530,19.4,34586,58.2,7752,13.1,31524,53.1,1386,2.3,2478,4.2,21451,36.1,6209,10.5,27857,46.9,4127,7.0,9052,15.2,13135,22.1,1543,2.6
"Bolsover",34511,100.0,2951,8.6,6873,19.9,20398,59.1,4289,12.4,18328,53.1,790,2.3,1565,4.5,12516,36.3,3457,10.0,16183,46.9,2161,6.3,5308,15.4,7882,22.8,832,2.4
"Chesterfield",47901,100.0,4365,9.1,10755,22.5,27415,57.2,5366,11.2,25117,52.4,1308,2.7,2630,5.5,16863,35.2,4316,9.0,22784,47.6,3057,6.4,8125,17.0,10552,22.0,1050,2.2
"Derbyshire Dales",35005,100.0,4165,11.9,7212,20.6,17211,49.2,6417,18.3,18611,53.2,1135,3.2,1705,4.9,10634,30.4,5137,14.7,16394,46.8,3030,8.7,5507,15.7,6577,18.8,1280,3.7
"Erewash",54851,100.0,4941,9.0,10662,19.4,33220,60.6,6028,11.0,28656,52.2,1341,2.4,2266,4.1,20278,37.0,4771,8.7,26195,47.8,3600,6.6,8396,15.3,12942,23.6,1257,2.3
"High Peak",45618,100.0,4506,9.9,9187,20.1,25807,56.6,6118,13.4,23889,52.4,1300,2.8,2146,4.7,15688,34.4,4755,10.4,21729,47.6,3206,7.0,7041,15.4,10119,22.2,1363,3.0
"North East Derbyshire",46858,100.0,4553,9.7,10088,21.5,26288,56.1,5929,12.7,24646,52.6,1247,2.7,2240,4.8,16400,35.0,4759,10.2,22212,47.4,3306,7.1,7848,16.7,9888,21.1,1170,2.5
"South Derbyshire",47886,100.0,4286,9.0,9057,18.9,27378,57.2,7165,15.0,25563,53.4,1127,2.4,1832,3.8,16795,35.1,5809,12.1,22323,46.6,3159,6.6,7225,15.1,10583,22.1,1356,2.8
"Blaby",48276,100.0,4394,9.1,9550,19.8,28464,59.0,5868,12.2,25185,52.2,1215,2.5,1997,4.1,17307,35.9,4666,9.7,23091,47.8,3179,6.6,7553,15.6,11157,23.1,1202,2.5
"Charnwood",79572,100.0,8537,10.7,15365,19.3,45728,57.5,9942,12.5,42069,52.9,2919,3.7,3535,4.4,27785,34.9,7830,9.8,37503,47.1,5618,7.1,11830,14.9,17943,22.5,2112,2.7
"Harborough",44079,100.0,4643,10.5,8317,18.9,23853,54.1,7266,16.5,23324,52.9,1299,2.9,1862,4.2,14368,32.6,5795,13.1,20755,47.1,3344,7.6,6455,14.6,9485,21.5,1471,3.3
"Hinckley and Bosworth",53774,100.0,4741,8.8,10194,19.0,31446,58.5,7393,13.7,28426,52.9,1331,2.5,2033,3.8,19226,35.8,5836,10.9,25348,47.1,3410,6.3,8161,15.2,12220,22.7,1557,2.9
"Melton",26184,100.0,2700,10.3,4879,18.6,14471,55.3,4134,15.8,13929,53.2,758,2.9,1014,3.9,8883,33.9,3274,12.5,12255,46.8,1942,7.4,3865,14.8,5588,21.3,860,3.3
"North West Leicestershire",46291,100.0,4184,9.0,8566,18.5,26688,57.7,6853,14.8,24812,53.6,1142,2.5,1736,3.8,16461,35.6,5473,11.8,21479,46.4,3042,6.6,6830,14.8,10227,22.1,1380,3.0
"Oadby and Wigston",26399,100.0,2711,10.3,5496,20.8,15392,58.3,2800,10.6,13712,51.9,875,3.3,1352,5.1,9252,35.0,2233,8.5,12687,48.1,1836,7.0,4144,15.7,6140,23.3,567,2.1
"Boston",30807,100.0,2521,8.2,6578,21.4,17504,56.8,4204,13.6,16149,52.4,728,2.4,1621,5.3,10375,33.7,3425,11.1,14658,47.6,1793,5.8,4957,16.1,7129,23.1,779,2.5
"East Lindsey",56311,100.0,5875,10.4,12751,22.6,28675,50.9,9010,16.0,29827,53.0,1698,3.0,3441,6.1,17588,31.2,7100,12.6,26484,47.0,4177,7.4,9310,16.5,11087,19.7,1910,3.4
"Lincoln",44599,100.0,5219,11.7,9217,20.7,25337,56.8,4826,10.8,23086,51.8,1726,3.9,2365,5.3,15238,34.2,3757,8.4,21513,48.2,3493,7.8,6852,15.4,10099,22.6,1069,2.4
"North Kesteven",52428,100.0,4952,9.4,9936,19.0,29499,56.3,8041,15.3,27762,53.0,1326,2.5,2109,4.0,17858,34.1,6469,12.3,24666,47.0,3626,6.9,7827,14.9,11641,22.2,1572,3.0
"South Holland",41490,100.0,3592,8.7,7333,17.7,23154,55.8,7411,17.9,22164,53.4,945,2.3,1565,3.8,13616,32.8,6038,14.6,19326,46.6,2647,6.4,5768,13.9,9538,23.0,1373,3.3
"South Kesteven",66532,100.0,6484,9.7,12809,19.3,37513,56.4,9726,14.6,34611,52.0,1779,2.7,2625,3.9,22543,33.9,7664,11.5,31921,48.0,4705,7.1,10184,15.3,14970,22.5,2062,3.1
"West Lindsey",41968,100.0,4554,10.9,8335,19.9,22524,53.7,6555,15.6,21948,52.3,1246,3.0,1790,4.3,13626,32.5,5286,12.6,20020,47.7,3308,7.9,6545,15.6,8898,21.2,1269,3.0
"Corby",30688,100.0,2053,6.7,5557,18.1,19783,64.5,3295,10.7,16204,52.8,679,2.2,1126,3.7,11760,38.3,2639,8.6,14484,47.2,1374,4.5,4431,14.4,8023,26.1,656,2.1
"Daventry",39536,100.0,3965,10.0,6962,17.6,22055,55.8,6554,16.6,21029,53.2,1117,2.8,1469,3.7,13266,33.6,5177,13.1,18507,46.8,2848,7.2,5493,13.9,8789,22.2,1377,3.5
"East Northamptonshire",43417,100.0,3928,9.0,7489,17.2,24899,57.3,7101,16.4,23281,53.6,1061,2.4,1433,3.3,15113,34.8,5674,13.1,20136,46.4,2867,6.6,6056,13.9,9786,22.5,1427,3.3
"Kettering",46918,100.0,4126,8.8,8767,18.7,27789,59.2,6236,13.3,24821,52.9,1121,2.4,1882,4.0,16869,36.0,4949,10.5,22097,47.1,3005,6.4,6885,14.7,10920,23.3,1287,2.7
"Northampton",106792,100.0,9228,8.6,19179,18.0,65918,61.7,12467,11.7,55978,52.4,2968,2.8,4452,4.2,38844,36.4,9714,9.1,50814,47.6,6260,5.9,14727,13.8,27074,25.4,2753,2.6
"South Northamptonshire",45740,100.0,4662,10.2,7927,17.3,25137,55.0,8014,17.5,24176,52.9,1278,2.8,1522,3.3,15058,32.9,6318,13.8,21564,47.1,3384,7.4,6405,14.0,10079,22.0,1696,3.7
"Wellingborough",36363,100.0,3136,8.6,6408,17.6,22130,60.9,4689,12.9,19253,52.9,911,2.5,1405,3.9,13157,36.2,3780,10.4,17110,47.1,2225,6.1,5003,13.8,8973,24.7,909,2.5
"Ashfield",55336,100.0,4598,8.3,11188,20.2,33452,60.5,6098,11.0,29158,52.7,1219,2.2,2357,4.3,20571,37.2,5011,9.1,26178,47.3,3379,6.1,8831,16.0,12881,23.3,1087,2.0
"Bassetlaw",52814,100.0,4890,9.3,11085,21.0,29596,56.0,7243,13.7,28158,53.3,1403,2.7,2681,5.1,18156,34.4,5918,11.2,24656,46.7,3487,6.6,8404,15.9,11440,21.7,1325,2.5
"Broxtowe",53185,100.0,4867,9.2,10323,19.4,31897,60.0,6098,11.5,28063,52.8,1460,2.7,2473,4.6,19417,36.5,4713,8.9,25122,47.2,3407,6.4,7850,14.8,12480,23.5,1385,2.6
"Gedling",55598,100.0,4974,8.9,11615,20.9,32717,58.8,6292,11.3,28599,51.4,1515,2.7,2722,4.9,19412,34.9,4950,8.9,26999,48.6,3459,6.2,8893,16.0,13305,23.9,1342,2.4
"Mansfield",48361,100.0,4389,9.1,9918,20.5,28420,58.8,5634,11.6,25410,52.5,1261,2.6,2431,5.0,17162,35.5,4556,9.4,22951,47.5,3128,6.5,7487,15.5,11258,23.3,1078,2.2
"Newark and Sherwood",54555,100.0,5585,10.2,10907,20.0,29967,54.9,8096,14.8,28999,53.2,1596,2.9,2625,4.8,18196,33.4,6582,12.1,25556,46.8,3989,7.3,8282,15.2,11771,21.6,1514,2.8
"Rushcliffe",55346,100.0,5785,10.5,10628,19.2,30833,55.7,8100,14.6,28938,52.3,1823,3.3,2563,4.6,18401,33.2,6151,11.1,26408,47.7,3962,7.2,8065,14.6,12432,22.5,1949,3.5
"Herefordshire, County of",90237,100.0,9236,10.2,18633,20.6,47448,52.6,14920,16.5,47975,53.2,2628,2.9,4372,4.8,29127,32.3,11848,13.1,42262,46.8,6608,7.3,14261,15.8,18321,20.3,3072,3.4
